pair_id,gold_label,detector_relationship,topic_similarity,outcome_divergence,significance,confidence_weight,temporal_decay,decision_type_a,decision_type_b,agent_a,agent_b,same_project,same_agent,days_apart,severity,category,scoring_method,len_a,len_b,in_recoded_subset
pair_0001,related_not_contradicting,contradiction,0.769349195552372,0.35285055975093127,0.2044113610765738,0.7899366977233939,0.9532315872715701,architecture,deployment,coder,codex-mcp-client,t,f,4.790,high,strategic,llm_v2,1413,372,f
pair_0002,related_not_contradicting,contradiction,0.7410544276411861,0.2586258735631717,0.12208387888394022,0.7400000095367432,0.8608044768540738,planning,architecture,investigator,claude-code,t,f,14.989,high,strategic,llm_v2,1680,2185,f
pair_0003,supersession,contradiction,0.7362367712986572,0.39972490345952605,0.17901151029774162,0.8148619493772736,0.7464800531676978,architecture,architecture,reviewer,codex-mcp-client,t,f,29.239,critical,strategic,llm_v2,2303,355,f
pair_0004,related_not_contradicting,contradiction,0.7304516030383419,0.3649885801946663,0.1904492301800394,0.7576278672396153,0.9428716072425214,architecture,design,claude-code,codex-mcp-client,t,f,5.883,high,strategic,llm_v2,2460,417,f
pair_0005,related_not_contradicting,contradiction,0.7372440887799474,0.4374097217357753,0.20079407690057924,0.7389181082329186,0.8426648092599629,architecture,architecture,planner,claude-code,t,f,17.119,critical,strategic,llm_v2,686,1150,f
pair_0006,related_not_contradicting,contradiction,0.704370369730034,0.39152609989981824,0.22474504029525075,0.8199999928474426,0.9938354205510977,investigation,deployment,claude-code,codex-mcp-client,t,f,0.618,high,strategic,llm_v2,1121,167,f
pair_0007,related_not_contradicting,contradiction,0.7147493427879954,0.38680877113770906,0.21524249316247998,0.7837091268866366,0.9933974280262026,trade_off,architecture,codex-mcp-client,claude-code,t,f,0.662,high,strategic,llm_v2,128,1216,f
pair_0008,supersession,contradiction,0.7874683519549462,0.3296851845860648,0.19279333801324489,0.7576278672396153,0.9801748214170339,trade_off,architecture,codex-mcp-client,claude-code,t,f,2.002,high,strategic,llm_v2,249,1671,f
pair_0009,supersession,contradiction,0.7300986229335539,0.26466941382870135,0.15056271784672368,0.7799999713897705,0.9989357917349994,error_handling,code_review,claude-code,codex-mcp-client,t,f,0.106,high,assessment,llm_v2,446,610,f
pair_0010,supersession,contradiction,0.7334068905465659,0.3934902917950833,0.22407864043565615,0.800000011920929,0.9705802717401018,architecture,architecture,claude-code,coder,t,f,2.986,critical,strategic,llm_v2,1913,388,f
pair_0011,related_not_contradicting,contradiction,0.7287465374430359,0.3637248792390827,0.15306018563215762,0.834865266657231,0.691665844084582,investigation,deployment,investigator,claude-code,t,f,36.865,high,factual,llm_v2,378,443,f
pair_0012,supersession,contradiction,0.822785270017618,0.2875995902412708,0.19871093733995093,0.8397618743304525,0.9999789255608422,code_review,code_review,coder,reviewer,t,f,0.002,high,strategic,llm_v2,258,254,f
pair_0013,related_not_contradicting,contradiction,0.7363296000559654,0.32509229800228,0.12324611436282053,0.5291502616497071,0.9730054684650772,code_review,code_review,reviewer,claude-code,t,f,2.737,critical,strategic,llm_v2,1982,887,f
pair_0014,related_not_contradicting,contradiction,0.7238643101084746,0.31415351848804196,0.18975015816836624,0.8349850083764209,0.9993195321198766,code_review,assessment,codex-mcp-client,coder,t,f,0.068,high,factual,llm_v2,531,921,f
pair_0015,contradiction,contradiction,0.7913566378366309,0.3973777748946603,0.24526413230514185,0.7799999713897705,0.9999162613253758,architecture,code_review,codex-mcp-client,reviewer,t,f,0.008,critical,factual,llm_v2,420,711,f
pair_0016,supersession,contradiction,0.7045093856442887,0.3198075935370339,0.14576994540331362,0.8485281325067245,0.7624760219471158,architecture,security,claude-code,codex-mcp-client,t,f,27.118,critical,strategic,llm_v2,600,169,f
pair_0017,related_not_contradicting,contradiction,0.8163223314328587,0.29849934384209864,0.18727019451530627,0.7776888871199334,0.9882292641883922,planning,planning,codex-mcp-client,claude-code,t,f,1.184,high,strategic,llm_v2,355,738,f
pair_0018,related_not_contradicting,contradiction,0.7255688806342935,0.33788086718304755,0.11338767154368475,0.5585695956683199,0.828030429048427,planning,deployment,claude-code,codex-mcp-client,t,f,18.871,critical,factual,llm_v2,1432,791,f
pair_0019,related_not_contradicting,contradiction,0.7188913465481198,0.3892760937534897,0.17699999448128906,0.7647221486387602,0.8270820479050034,database,code_review,codex-mcp-client,claude-code,t,f,18.985,critical,factual,llm_v2,301,925,f
pair_0020,supersession,contradiction,0.7754213834732507,0.25993959156295654,0.14219479695398266,0.7099295820319727,0.9937067202319478,code_review,code_review,reviewer,reviewer,t,t,0.631,high,assessment,llm_v2,1443,3028,f
pair_0021,related_not_contradicting,contradiction,0.713513453501333,0.38753175127283945,0.2052704414747347,0.7799999713897705,0.9517488755289405,architecture,trade_off,coder,codex-mcp-client,t,f,4.945,high,strategic,llm_v2,1413,242,f
pair_0022,supersession,contradiction,0.764526345186068,0.3314760759864386,0.19246251021776856,0.7597367874909636,0.9996278453299295,architecture,architecture,claude-code,codex-mcp-client,t,f,0.037,high,strategic,llm_v2,1588,304,f
pair_0023,supersession,contradiction,0.7170404049298412,0.3734263655200559,0.10199531414256052,0.5585695956683199,0.6819528067818961,investigation,architecture,codex-mcp-client,claude-code,t,f,38.279,high,strategic,llm_v2,299,899,f
pair_0024,related_not_contradicting,contradiction,0.7718883447282516,0.3991479064598139,0.2461757356839131,0.7997499427699993,0.9990855731606324,investigation,investigation,claude-code,operator,t,f,0.091,high,factual,llm_v2,399,1629,f
pair_0025,related_not_contradicting,contradiction,0.8498334659825758,0.2774855038090773,0.16352499687087882,0.7758866225303647,0.8937411536312502,trade_off,investigation,codex-mcp-client,claude-code,t,f,11.234,critical,factual,llm_v2,255,631,f
pair_0026,supersession,contradiction,0.7365297673929291,0.38743320478802934,0.24243738436025772,0.8499411682357187,0.999593863773085,architecture,architecture,claude-code,codex-mcp-client,t,f,0.041,high,strategic,llm_v2,812,418,f
